Game Number,Date,Stage,Team 1,Score,Team 2,Location
1,13-Jul,First round,France,4-1,Mexico,"Estadio Pocitos, Montevideo"
5,15-Jul,First round,Argentina,1-0,France,"Estadio Parque Central, Montevideo"
6,16-Jul,First round,Chile,3-0,Mexico,"Estadio Parque Central, Montevideo"
10,19-Jul,First round,Chile,1-0,France,"Estadio Centenario, Montevideo"
11,19-Jul,First round,Argentina,6-3,Mexico,"Estadio Centenario, Montevideo"
15,22-Jul,First round,Argentina,3-1,Chile,"Estadio Centenario, Montevideo"
3,14-Jul,First round,Yugoslavia,2-1,Brazil,"Estadio Parque Central, Montevideo"
7,17-Jul,First round,Yugoslavia,4-0,Bolivia,"Estadio Parque Central, Montevideo"
12,20-Jul,First round,Brazil,4-0,Bolivia,"Estadio Centenario, Montevideo"
4,14-Jul,First round,Romania,3-1,Peru,"Estadio Pocitos, Montevideo"
9,18-Jul,First round,Uruguay,1-0,Peru,"Estadio Centenario, Montevideo"
14,21-Jul,First round,Uruguay,4-0,Romania,"Estadio Centenario, Montevideo"
2,13-Jul,First round,United Sta,3-0,Belgium,"Estadio Parque Central, Montevideo"
8,17-Jul,First round,United Sta,3-0,Paraguay,"Estadio Parque Central, Montevideo"
13,20-Jul,First round,Paraguay,1-0,Belgium,"Estadio Centenario, Montevideo"
16,26-Jul,Semi-finals,Argentina,6-1,United States,"Estadio Centenario, Montevideo"
17,27-Jul,Semi-finals,Uruguay,6-1,Yugoslavia,"Estadio Centenario, Montevideo"
18,30-Jul,Final,Uruguay,4-2,Argentina,"Estadio Centenario, Montevideo"
