Game Number,Date,Stage,Team 1,Score,Team 2,Location
1,10-Jun,First round,Brazil,2-1,Scotland,"Stade de France, Saint-Denis"
2,10-Jun,First round,Morocco,2-2,Norway,"Stade de la Mosson, Montpellier"
17,16-Jun,First round,Scotland,1-1,Norway,"Parc Lescure, Bordeaux"
18,16-Jun,First round,Brazil,3-0,Morocco,"Stade de la Beaujoire, Nantes"
34,23-Jun,First round,Scotland,0-3,Morocco,"Stade Geoffroy-Guichard, Saint-êtienne"
35,23-Jun,First round,Brazil,1-2,Norway,"Stade VÇlodrome, Marseille"
3,11-Jun,First round,Cameroon,1-1,Austria,"Stade de Toulouse, Toulouse"
4,11-Jun,First round,Italy,2-2,Chile,"Parc Lescure, Bordeaux"
19,17-Jun,First round,Chile,1-1,Austria,"Stade Geoffroy-Guichard, Saint-êtienne"
20,17-Jun,First round,Italy,3-0,Cameroon,"Stade de la Mosson, Montpellier"
33,23-Jun,First round,Italy,2-1,Austria,"Stade de France, Saint-Denis"
36,23-Jun,First round,Chile,1-1,Cameroon,"Stade de la Beaujoire, Nantes"
5,12-Jun,First round,Saudi Arabia,0-1,Denmark,"Stade FÇlix Bollaert, Lens"
6,12-Jun,First round,France,3-0,South Africa,"Stade VÇlodrome, Marseille"
21,18-Jun,First round,France,4-0,Saudi Arabia,"Stade de France, Saint-Denis"
22,18-Jun,First round,South Africa,1-1,Denmark,"Stade de Toulouse, Toulouse"
38,24-Jun,First round,France,2-1,Denmark,"Stade Gerland, Lyon"
40,24-Jun,First round,South Africa,2-2,Saudi Arabia,"Parc Lescure, Bordeaux"
7,12-Jun,First round,Paraguay,0-0,Bulgaria,"Stade de la Mosson, Montpellier"
10,13-Jun,First round,Spain,2-3,Nigeria,"tade de la Beaujoire, Nantes"
23,19-Jun,First round,Nigeria,1-0,Bulgaria,"Parc des Princes, Paris"
24,19-Jun,First round,Spain,0-0,Paraguay,"Stade Geoffroy-Guichard, Saint-êtienne"
37,24-Jun,First round,Spain,6-1,Bulgaria,"Stade FÇlix Bollaert, Lens"
39,24-Jun,First round,Nigeria,1-3,Paraguay,"tade de Toulouse, Toulouse"
8,13-Jun,First round,Netherlands,0-0,Belgium,"Stade de France, Saint-Denis"
9,13-Jun,First round,South Korea,1-3,Mexico,"Stade Gerland, Lyon"
25,20-Jun,First round,Netherlands,5-0,South Korea,"Stade VÇlodrome, Marseille"
26,20-Jun,First round,Belgium,2-2,Mexico,"Parc Lescure, Bordeaux"
41,25-Jun,First round,Belgium,1-1,South,"Parc des Princes, Paris"
42,25-Jun,First round,Netherlands,2-2,Mexico,"Stade Geoffroy-Guichard, Saint-êtienne"
12,14-Jun,First round,Yugoslavia,1-0,Iran,"Stade Geoffroy-Guichard, Saint-êtienne"
14,15-Jun,First round,Germany,2-0,United,"Parc des Princes, Paris"
29,21-Jun,First round,Germany,2-2,Yugoslavia,"Stade FÇlix Bollaert, Lens"
30,21-Jun,First round,United States,1-2,Iran,"Stade Gerland, Lyon"
43,25-Jun,First round,Germany,2-0,Iran,"Stade de la Mosson, Montpellier"
44,25-Jun,First round,United States,0-1,Yugoslavia,"Stade de la Beaujoire, Nantes"
15,15-Jun,First round,Romania,1-0,Colombia,"Stade Gerland, Lyon"
16,15-Jun,First round,England,2-0,Tunisia,"Stade VÇlodrome, Marseille"
31,22-Jun,First round,Colombia,1-0,Tunisia,"Stade de la Mosson, Montpellier"
32,22-Jun,First round,Romania,2-1,England,"Stade de Toulouse, Toulouse"
45,26-Jun,First round,Romania,1-1,Tunisia,"Stade de France, Saint-Denis"
46,26-Jun,First round,Colombia,0-2,England,"Stade FÇlix Bollaert, Lens"
11,14-Jun,First round,Jamaica,1-3,Croatia,"Stade FÇlix Bollaert, Lens"
13,14-Jun,First round,Argentina,1-0,Japan,"Stade de Toulouse, Toulouse"
27,20-Jun,First round,Japan,0-1,Croatia,"Stade de la Beaujoire, Nantes"
28,21-Jun,First round,Argentina,5-0,Jamaica,"Parc des Princes, Paris"
47,26-Jun,First round,Japan,1-2,Jamaica,"Stade Gerland, Lyon"
48,26-Jun,First round,Argentina,1-0,Croatia,"Parc Lescure, Bordeaux"
49,27-Jun,Second round,Brazil,4-1,Chile,"Parc des Princes, Paris"
50,27-Jun,Second round,Italy,1-0,Norway,"Stade VÇlodrome, Marseille"
51,28-Jun,Second round,Nigeria,1-4,Denmark,"Stade de France, Saint-Denis"
52,28-Jun,Second round,France,1-0,Paraguay,"Stade FÇlix Bollaert, Lens"
53,29-Jun,Second round,Germany,2-1,Mexico,"Stade de la Mosson, Montpellier"
54,29-Jun,Second round,Netherlands,2-1,Yugoslavia,"Stade de Toulouse, Toulouse"
55,30-Jun,Second round,Argentina,2-2,England ,"Stade Geoffroy-Guichard, Saint-êtienne"
56,30-Jun,Quarter-finals,Romania,0-1,Croatia,"Parc Lescure, Bordeaux"
57,3-Jul,Quarter-finals,Italy,3-4,France,"Stade de France, Saint-Denis"
58,3-Jul,Quarter-finals,Brazil,3-2,Denmark,"Stade de la Beaujoire, Nantes"
59,4-Jul,Quarter-finals,Germany,0-3,Croatia,"Stade Gerland, Lyon"
60,4-Jul,Quarter-finals,Netherlands,2-1,Argentina,"Stade VÇlodrome, Marseille"
61,7-Jul,Semi-finals,Brazil,1-1,Netherlands,"Stade VÇlodrome, Marseille"
62,8-Jul,Semi-finals,France,2-1,Croatia,"Stade de France, Saint-Denis"
63,11-Jul,Third place,Netherlands,1-2,Croatia,"Parc des Princes, Paris"
64,12-Jul,Final,Brazil,0-3,France,"Stade de France, Saint-Denis"
