Game Number,Date,Stage,Team 1,Score,Team 2,Location
1,9-Jun,First round,Germany,4-2,Costa Rica,"Allianz Arena, MÅnchen"
2,9-Jun,First round,Poland,0-2,Ecuador,"Veltins-Arena, Gelsenkirchen"
17,14-Jun,First round,Germany,1-0,Poland,"Signal Iduna Park, Dortmund"
18,15-Jun,First round,Ecuador,3-0,Costa Rica,"AOL Arena, Hamburg"
33,20-Jun,First round,Ecuador,0-3,Germany,"Olympiastadion, Berlin"
34,20-Jun,First round,Costa Rica,1-2,Poland,"AWD-Arena, Hannover"
3,10-Jun,First round,England,1-0,Paraguay,"Commerzbank-Arena, Frankfurt"
4,10-Jun,First round,Trinidad and Tobago,0-0,Sweden,"Signal Iduna Park, Dortmund"
19,15-Jun,First round,England,2-0,Trinidad and Tobago,"Frankenstadion, NÅrnberg"
20,15-Jun,First round,Sweden,1-0,Paraguay,"Olympiastadion, Berlin"
35,20-Jun,First round,Sweden,2-2,England,"RheinEnergieStadion, Kîln"
36,20-Jun,First round,Paraguay,2-0,Trinidad and Tobago,"Fritz-Walter-Stadion, Kaiserslautern"
5,10-Jun,First round,Argentina,2-1,Cìte d'Ivoire,"AOL Arena, Hamburg"
6,11-Jun,First round,Serbia and Montenegro,0-1,Netherlands,"Zentralstadion, Leipzig"
21,16-Jun,First round,Argentina,6-0,Serbia and Montenegro,"Veltins-Arena, Gelsenkirchen"
22,16-Jun,First round,Netherlands,2-1,Cìte d'Ivoire,"Gottlieb-Daimler-Stadion, Stuttgart"
37,21-Jun,First round,Netherlands,0-0,Argentina,"Commerzbank-Arena, Frankfurt"
38,21-Jun,First round,Cìte d'Ivoire,3-2,Serbia and Montenegro,"Allianz Arena, MÅnchen"
7,11-Jun,First round,Mexico,3-1,Iran,"Frankenstadion, NÅrnberg"
8,11-Jun,First round,Angola,0-1,Portugal,"RheinEnergieStadion, Kîln"
23,16-Jun,First round,Mexico,0-0,Angola,"AWD-Arena, Hannover"
24,17-Jun,First round,Portugal,2-0,Iran,"Commerzbank-Arena, Frankfurt"
39,21-Jun,First round,Portugal,2-1,Mexico,"Veltins-Arena, Gelsenkirchen"
40,21-Jun,First round,Iran,1-1,Angola,"Zentralstadion, Leipzig"
9,12-Jun,First round,Italy,2-0,Ghana,"AWD-Arena, Hannover"
10,12-Jun,First round,United States,0-3,Czech Republic,"Veltins-Arena, Gelsenkirchen"
25,17-Jun,First round,Italy,1-1,United States,"Fritz-Walter-Stadion, Kaiserslautern"
26,17-Jun,First round,Czech Republic,0-2,Ghana,"RheinEnergieStadion, Kîln"
41,22-Jun,First round,Czech Republic,0-2,Italy,"AOL Arena, Hamburg"
42,22-Jun,First round,Ghana,2-1,United States,"Frankenstadion, NÅrnberg"
11,13-Jun,First round,Brazil,1-0,Croatia,"Olympiastadion, Berlin"
12,12-Jun,First round,Australia,3-1,Japan,"Fritz-Walter-Stadion, Kaiserslautern"
27,18-Jun,First round,Brazil,2-0,Australia,"Allianz Arena, MÅnchen"
28,18-Jun,First round,Japan,0-0,Croatia,"Frankenstadion, NÅrnberg"
43,22-Jun,First round,Japan,1-4,Brazil,"Signal Iduna Park, Dortmund"
44,22-Jun,First round,Croatia,2-2,Australia,"Gottlieb-Daimler-Stadion, Stuttgart"
13,13-Jun,First round,France,0-0,Switzerland,"Gottlieb-Daimler-Stadion, Stuttgart"
14,13-Jun,First round,South Korea,2-1,Togo,"Commerzbank-Arena, Frankfurt"
29,18-Jun,First round,France,1-1,South Korea,"Zentralstadion, Leipzig"
30,19-Jun,First round,Togo,0-2,Switzerland,"Signal Iduna Park, Dortmund"
45,23-Jun,First round,Togo,0-2,France,"RheinEnergieStadion, Kîln"
46,23-Jun,First round,Switzerland,2-0,South,"AWD-Arena, Hannover"
15,14-Jun,First round,Spain,4-0,Ukraine,"Zentralstadion, Leipzig"
16,14-Jun,First round,Tunisia,2-2,Saudi Arabia,"Allianz Arena, MÅnchen"
31,19-Jun,First round,Spain,3-1,Tunisia,"Gottlieb-Daimler-Stadion, Stuttgart"
32,19-Jun,First round,Saudi Arabia,0-4,Ukraine,"AOL Arena, Hamburg"
47,23-Jun,First round,Saudi Arabia,0-1,Spain,"Fritz-Walter-Stadion, Kaiserslautern"
48,23-Jun,First round,Ukraine,1-0,Tunisia,"Olympiastadion, Berlin"
49,24-Jun,Second round,Germany,2-0,Sweden,"Allianz Arena, MÅnchen"
50,24-Jun,Second round,Argentina,2-1,Mexico,"Zentralstadion, Leipzig"
51,25-Jun,Second round,England,1-0,Ecuador,"Gottlieb-Daimler-Stadion, Stuttgart"
52,25-Jun,Second round,Portugal,1-0,Netherlands,"Frankenstadion, NÅrnberg"
53,26-Jun,Second round,Italy,1-0,Australia,"Fritz-Walter-Stadion, Kaiserslautern"
54,26-Jun,Second round,Switzerland,0-3,Ukraine,"RheinEnergieStadion, Kîln"
55,27-Jun,Second round,Brazil,3-0,Ghana,"Signal Iduna Park, Dortmund"
56,27-Jun,Second round,Spain,1-3,France,"AWD-Arena, Hannover"
57,30-Jun,Quarter-finals,Germany,4-2,Argentina,"Olympiastadion, Berlin"
58,30-Jun,Quarter-finals,Italy,3-0,Ukraine,"AOL Arena, Hamburg"
59,1-Jul,Quarter-finals,England,1-3,Portugal,"Veltins-Arena, Gelsenkirchen"
60,1-Jul,Quarter-finals,Brazil,0-1,France,"Commerzbank-Arena, Frankfurt"
61,4-Jul,Semi-finals,Germany,0-2,Italy,"Signal Iduna Park, Dortmund"
62,5-Jul,Semi-finals,Portugal,0-1,France,"Allianz Arena, MÅnchen"
63,8-Jul,Third place,Germany,3-1,Portugal,"Gottlieb-Daimler-Stadion, Stuttgart"
64,9-Jul,Final,Italy,5-3,France,"Olympiastadion, Berlin"
