Game Number,Date,Stage,Team 1,Score,Team 2,Location
1,31-May,First round,Mexico,0-0,Soviet Union,"Estadio Azteca, Mexico City"
5,3-Jun,First round,Belgium,3-0,El Salvador,"Estadio Azteca, Mexico City"
9,6-Jun,First round,Soviet Union,4-1,Belgium,"Estadio Azteca, Mexico City"
13,7-Jun,First round,Mexico,4-0,El Salvador,"Estadio Azteca, Mexico City"
17,10-Jun,First round,Soviet Union,2-0,El Salvador,"Estadio Azteca, Mexico City"
21,11-Jun,First round,Mexico,1-0,Belgium,"Estadio Azteca, Mexico City"
2,2-Jun,First round,Uruguay,2-0,Israel,"Estadio Cuauht�moc, Puebla"
6,3-Jun,First round,Italy,1-0,Sweden,"Estadio Luis Dosal, Toluca"
10,6-Jun,First round,Uruguay,0-0,Italy,"Estadio Cuauht�moc, Puebla"
14,7-Jun,First round,Sweden,1-1,Israel,"Estadio Luis Dosal, Toluca"
18,10-Jun,First round,Uruguay,0-1,Sweden,"Estadio Cuauht�moc, Puebla"
22,11-Jun,First round,Israel,0-0,Italy,"Estadio Luis Dosal, Toluca"
3,2-Jun,First round,Romania,0-1,England,"Estadio Jalisco, Guadalajara"
7,3-Jun,First round,Czechoslovakia,1-4,Brazil,"Estadio Jalisco, Guadalajara"
11,6-Jun,First round,Romania,2-1,Czechoslovakia,"Estadio Jalisco, Guadalajara"
15,7-Jun,First round,England,0-1,Brazil,"Estadio Jalisco, Guadalajara"
19,10-Jun,First round,Romania,2-3,Brazil,"Estadio Jalisco, Guadalajara"
23,11-Jun,First round,England,1-0,Czechoslovakia,"Estadio Jalisco, Guadalajara"
4,2-Jun,First round,Peru,3-2,Bulgaria,"Estadio Nou Camp, Le�n"
8,3-Jun,First round,Morocco,1-2,West,"Estadio Nou Camp, Le�n"
12,6-Jun,First round,Peru,3-0,Morocco,"Estadio Nou Camp, Le�n"
16,7-Jun,First round,Bulgaria,2-5,West,"Estadio Nou Camp, Le�n"
20,10-Jun,First round,Peru,1-3,West,"Estadio Nou Camp, Le�n"
24,11-Jun,First round,Bulgaria,1-1,Morocco,"Estadio Nou Camp, Le�n"
25,14-Jun,Quarter-finals,Uruguay,1-0,Soviet Union,"Estadio Azteca, Mexico City"
26,14-Jun,Quarter-finals,Italy,4-1,Mexico,"Estadio Luis Dosal, Toluca"
27,14-Jun,Quarter-finals,Brazil,4-2,Peru,"Estadio Jalisco, Guadalajara"
28,14-Jun,Quarter-finals,West Germany,3-2,England,"Estadio Nou Camp, Le�n"
29,17-Jun,Semi-finals,Uruguay,1-3,Brazil,"Estadio Jalisco, Guadalajara"
30,17-Jun,Semi-finals,Italy,4-3,West Germany,"Estadio Azteca, Mexico City"
31,20-Jun,Third place,Uruguay,0-1,West Germany,"Estadio Azteca, Mexico City"
32,21-Jun,Finals,Brazil,4-1,Italy,"Estadio Azteca, Mexico City"
