Game Number,Date,Stage,Team 1,Score,Team 2,Location
3,16-Jun,First round,Brazil,5-0,Mexico,"Charmilles Stadium, Geneva"
4,16-Jun,First round,Yugoslavia,1-0,France,"Olympique de la Pontaise, Lausanne"
10,19-Jun,First round,Brazil,1-1,Yugoslavia,"Stade Olympique de la Pontaise, Lausanne"
11,19-Jun,First round,France,3-2,Mexico,"Charmilles Stadium, Geneva"
5,17-Jun,First round,West Germany,4-1,Turkey,"Wankdorf Stadium, Bern"
8,17-Jun,First round,Hungary,9-0,South Korea,"Hardturm Stadium, ZÅrich"
14,20-Jun,First round,Hungary,8-3,West Germany,"St. Jakob Stadium, Basel"
15,20-Jun,First round,Turkey,7-0,South Korea,"Charmilles Stadium, Geneva"
25,23-Jun,First round,West Germany,7-2,Turkey,"Hardturm Stadium, ZÅrich"
1,16-Jun,First round,Uruguay,2-0,Czechoslovakia,"Wankdorf Stadium, Bern"
2,16-Jun,First round,Austria,1-0,Scotland,"Hardturm Stadium, ZÅrich"
9,19-Jun,First round,Austria,5-0,Czechoslovakia,"Hardturm Stadium, ZÅrich"
12,19-Jun,First round,Uruguay,7-0,Scotland,"St. Jakob Stadium, Basel"
6,17-Jun,First round,England,4-4,Belgium,"St. Jakob Stadium, Basel"
7,17-Jun,First round,Switzerland,2-1,Italy,"Stade Olympique de la Pontaise, Lausanne"
13,20-Jun,First round,England,2-0,Switzerland,"Wankdorf Stadium, Bern"
16,20-Jun,First round,Italy,4-1,Belgium,"Cornaredo Stadium, Lugano"
26,23-Jun,First round,Switzerland,4-1,Italy,"St. Jakob Stadium, Basel"
19,26-Jun,Quarter-finals,Austria,7-5,Switzerland,"Stade Olympique de la Pontaise, Lausanne"
20,26-Jun,Quarter-finals,Uruguay,4-2,England,"St. Jakob Stadium, Basel"
17,27-Jun,Quarter-finals,Yugoslavia,0-2,West Germany,"Charmilles Stadium, Geneva"
18,27-Jun,Quarter-finals,Brazil,2-4,Hungary,"Wankdorf Stadium, Bern"
21,30-Jun,Semi-finals,West Germany,6-1,Austria,"St. Jakob Stadium, Basel"
22,30-Jun,Semi-finals,Hungary,4-2,Uruguay,"Stade Olympique de la Pontaise, Lausanne"
23,3-Jul,Third place,Uruguay,1-3,Austria,"Hardturm Stadium, ZÅrich"
24,4-Jul,Final,Hungary,2-3,West Germany,"Wankdorf Stadium, Bern"
