Game Number,Date,Stage,Team 1,Score,Team 2,Location
1,11-Jun,First round,South Africa,1-1,Mexico,"Soccer City, Johannesburg"
2,11-Jun,First round,Uruguay,0-0,France,"Cape Town Stadium, Cape Town"
17,16-Jun,First round,South Africa,0-3,Uruguay,"Loftus Versfeld Stadium, Pretoria"
18,17-Jun,First round,France,0-2,Mexico,"Peter Mokaba Stadium, Polokwane"
33,22-Jun,First round,Mexico,0-1,Uruguay,"Royal Bafokeng Stadium, Rustenburg"
34,22-Jun,First round,France,1-2,South Africa,"Free State Stadium, Bloemfontein"
4,12-Jun,First round,South Africa,2-0,Greece,"Nelson Mandela Bay Stadium, Port Elizabeth"
3,12-Jun,First round,Argentina,1-0,Nigeria,"Ellis Park Stadium, Johannesburg"
20,17-Jun,First round,Argentina,4-1,South Korea,"Soccer City, Johannesburg"
19,17-Jun,First round,Greece,2-1,Nigeria,"Free State Stadium, Bloemfontein"
35,22-Jun,First round,Nigeria,2-2,South Korea,"Moses Mabhida Stadium, Durban"
36,22-Jun,First round,Greece,0-2,Argentina,"Peter Mokaba Stadium, Polokwane"
5,12-Jun,First round,England,1-1,United States,"Royal Bafokeng Stadium, Rustenburg"
6,13-Jun,First round,Algeria,0-1,Slovenia,"Peter Mokaba Stadium, Polokwane"
22,18-Jun,First round,Slovenia,2-2,United Stares,"Ellis Park Stadium, Johannesburg"
23,18-Jun,First round,England,0-0,Algeria,"Cape Town Stadium, Cape Town"
38,23-Jun,First round,United States,1-0,Algeria,"Loftus Versfeld Stadium, Pretoria"
37,23-Jun,First round,Slovenia,0-1,England,"Nelson Mandela Bay Stadium, Port Elizabeth"
8,13-Jun,First round,Serbia,0-1,Ghana,"Loftus Versfeld Stadium, Pretoria"
7,13-Jun,First round,Germany,4-0,Australia,"Moses Mabhida Stadium, Durban"
21,18-Jun,First round,Germany,0-1,Serbia,"Nelson Mandela Bay Stadium, Port Elizabeth"
24,19-Jun,First round,Ghana,1-1,Australia,"Royal Bafokeng Stadium, Rustenburg"
40,23-Jun,First round,Australia,2-1,Serbia,"Mbombela Stadium, Nelspruit"
39,23-Jun,First round,Ghana,0-1,Germany,"Soccer City, Johannesburg"
9,14-Jun,First round,Netherlands,2-0,Denmark,"Soccer City, Johannesburg"
10,14-Jun,First round,Japan,1-0,Cameroon,"Free State Stadium, Bloemfontein"
25,19-Jun,First round,Netherlands,1-0,Japan,"Moses Mabhida Stadium, Durban"
26,19-Jun,First round,Cameroon,1-2,Denmark,"Loftus Versfeld Stadium, Pretoria"
43,24-Jun,First round,Denmark,1-3,Japan,"Royal Bafokeng Stadium, Rustenburg"
44,24-Jun,First round,Cameroon,1-2,Netherlands,"Cape Town Stadium, Cape Town"
11,14-Jun,First round,Italy,1-1,Paraguay,"Cape Town Stadium, Cape Town"
12,15-Jun,First round,New Zealand,1-1 ,Slovakia,"Royal Bafokeng Stadium, Rustenburg"
27,20-Jun,First round,Slovakia,0-2,Paraguay,"Free State Stadium, Bloemfontein"
28,20-Jun,First round,Italy,1-1,New Zealand,"Mbombela Stadium, Nelspruit"
41,24-Jun,First round,Slovakia,3-2,Italy,"Ellis Park Stadium, Johannesburg"
42,24-Jun,First round,Paraguay,0-0,New Zealand,"Peter Mokaba Stadium, Polokwane"
13,15-Jun,First round,C�te d'Ivoire,0-0,Portugal,"Nelson Mandela Bay Stadium, Port Elizabeth"
14,15-Jun,First round,Brazil,2-1,North Korea,"Ellis Park Stadium, Johannesburg"
29,20-Jun,First round,Brazil,3-1,C�te d'Ivoire,"Soccer City, Johannesburg"
30,21-Jun,First round,Portugal,7-0,North Korea,"Cape Town Stadium, Cape Town"
45,25-Jun,First round,Portugal,0-0,Brazil,"Moses Mabhida Stadium, Durban"
46,25-Jun,First round,North Korea,0-3,C�te d'Ivoire,"Mbombela Stadium, Nelspruit"
15,16-Jun,First round,Honduras,0-1,Chile,"Mbombela Stadium, Nelspruit"
16,16-Jun,First round,Spain,0-1,Switzerland,"Moses Mabhida Stadium, Durban"
31,21-Jun,First round,Chile,1-0,Switzerland,"Nelson Mandela Bay Stadium, Port Elizabeth"
32,21-Jun,First round,Spain,2-0,Honduras,"Ellis Park Stadium, Johannesburg"
47,25-Jun,First round,Chile,1-2,Spain,"Loftus Versfeld Stadium, Pretoria"
48,25-Jun,First round,Switzerland,0-0,Honduras,"Free State Stadium, Bloemfontein"
49,26-Jun,Second round,Uruguay,2-1,South Korea,"Nelson Mandela Bay Stadium, Port Elizabeth"
50,26-Jun,Second round,United States,1-1,Ghana,"Royal Bafokeng Stadium, Rustenburg"
51,27-Jun,Second round,Germany,4-1,England,"Free State Stadium, Bloemfontein"
52,27-Jun,Second round,Argentina,3-1,Mexico,"Soccer City, Johannesburg"
53,28-Jun,Second round,Netherlands,2-1,Slovakia,"Moses Mabhida Stadium, Durban"
54,28-Jun,Second round,Brazil,3-0,Chile,"Ellis Park Stadium, Johannesburg"
55,29-Jun,Second round,Paraguay,5-3,Japan,"Loftus Versfeld Stadium, Pretoria"
56,29-Jun,Second round,Spain,1-0,Portugal,"Cape Town Stadium, Cape Town"
57,2-Jul,Quarter-finals,Netherlands,2-1,Brazil,"Nelson Mandela Bay Stadium, Port Elizabeth"
58,2-Jul,Quarter-finals,Uruguay,4-2,Ghana,"Soccer City, Johannesburg"
59,3-Jul,Quarter-finals,Argentina,0-4,Germany,"Cape Town Stadium, Cape Town"
60,3-Jul,Quarter-finals,Paraguay,0-1,Spain,"Ellis Park Stadium, Johannesburg"
61,6-Jul,Semi-finals,Uruguay,2-3,Netherlands,"Cape Town Stadium, Cape Town"
62,7-Jul,Semi-finals,Germany,0-1,Spain,"Moses Mabhida Stadium, Durban"
63,10-Jul,Third place,Uruguay,2-3,Germany,"Nelson Mandela Bay Stadium, Port Elizabeth"
64,11-Jul,Final,Netherlands,0-1,Spain,"Soccer City, Johannesburg"
