Game Number,Date,Stage,Team 1,Score,Team 2,Location
2,14-Jun,First round,Italy,0-0,Poland,"Bala¡dos, Vigo"
4,15-Jun,First round,Peru,0-0,Cameroon,"Estadio de Riazor, A Coru¤a"
13,18-Jun,First round,Italy,1-1,Peru,"Bala¡dos, Vigo"
16,19-Jun,First round,Poland,0-0,Cameroon,"Estadio de Riazor, A Coru¤a"
25,22-Jun,First round,Poland,5-1,Peru,"Estadio de Riazor, A Coru¤a"
28,23-Jun,First round,Italy,1-1,Cameroon,"Bala¡dos, Vigo"
7,16-Jun,First round,West Germany,1-2,Algeria,"El Molin¢n, Gij¢n"
10,17-Jun,First round,Chile,0-1,Austria,"Estadio Carlos Tartiere, Oviedo"
19,20-Jun,First round,West Germany,4-1,Chile,"El Molin¢n, Gij¢n"
22,21-Jun,First round,Algeria,0-2,Austria,"Estadio Carlos Tartiere, Oviedo"
31,24-Jun,First round,Algeria,3-2,Chile,"Estadio Carlos Tartiere, Oviedo"
34,25-Jun,First round,West Germany,1-0,Austria,"El Molin¢n, Gij¢n"
1,13-Jun,First round,Argentina,0-1,Belgium,"Camp Nou, Barcelona"
5,15-Jun,First round,Hungary,10-1,El Salvador,"Nuevo Estadio, Elche"
14,18-Jun,First round,Argentina,4-1,Hungary,"Estadio Jos‚ Rico P‚rez, Alicante"
17,19-Jun,First round,Belgium,1-0,El Salvador,"Nuevo Estadio, Elche"
26,22-Jun,First round,Belgium,1-1,Hungary,"Nuevo Estadio, Elche"
29,23-Jun,First round,Argentina,2-0,El Salvador,"Estadio Jos‚ Rico P‚rez, Alicante"
8,16-Jun,First round,England,3-1,France,"Estadio San Mam‚s, Bilbao"
11,17-Jun,First round,Czechoslovakia,1-1,Kuwait,"Estadio Jos‚ Zorrilla, Valladolid"
20,20-Jun,First round,England,2-0,Czechoslovakia,"Estadio San Mam‚s, Bilbao"
23,21-Jun,First round,France,4-1,Kuwait,"Estadio Jos‚ Zorrilla, Valladolid"
32,24-Jun,First round,France,1-1,Czechoslovakia,"Estadio Jos‚ Zorrilla, Valladolid"
35,25-Jun,First round,England,1-0,Kuwait,"Estadio San Mam‚s, Bilbao"
9,16-Jun,First round,Spain,1-1,Honduras,"Estadio Luis Casanova, Valencia"
12,17-Jun,First round,Yugoslavia,0-0,Northern Ireland,"La Romareda, Zaragoza"
21,20-Jun,First round,Spain,2-1,Yugoslavia,"Estadio Luis Casanova, Valencia"
24,21-Jun,First round,Honduras,1-1,Northern Ireland,"La Romareda, Zaragoza"
33,24-Jun,First round,Honduras,0-1,Yugoslavia,"La Romareda, Zaragoza"
36,25-Jun,First round,Spain,0-1,Northern Ireland,"Estadio Luis Casanova, Valencia"
3,14-Jun,First round,Brazil,2-1,Soviet Union,"Estadio Ram¢n S nchez Pizju n, Seville"
6,15-Jun,First round,Scotland,5-2,New Zealand,"Estadio La Rosaleda, M laga"
15,18-Jun,First round,Brazil,4-1,Scotland,"Estadio Benito Villamar¡n, Seville"
18,19-Jun,First round,Soviet Union,3-0,New Zealand,"Estadio La Rosaleda, M laga"
27,22-Jun,First round,Soviet Union,2-2,Scotland,"Estadio La Rosaleda, M laga"
30,23-Jun,First round,Brazil,4-0,New Zealand,"Estadio Benito Villamar¡n, Seville"
38,28-Jun,Second round,Poland,3-0,Belgium,"Camp Nou, Barcelona"
42,1-Jul,Second round,Belgium,0-1,Soviet Union,"Camp Nou, Barcelona"
46,4-Jul,Second round,Soviet Union,0-0,Poland,"Camp Nou, Barcelona"
40,29-Jun,Second round,West Germany,0-0,England,"Estadio Santiago Bernab‚u, Madrid"
44,2-Jul,Second round,West Germany,2-1,Spain,"Estadio Santiago Bernab‚u, Madrid"
48,5-Jul,Second round,Spain,0-0,England,"Estadio Vicente Calder¢n, Madrid"
39,29-Jun,Second round,Italy,2-1,Argentina,"Estadio Sarri , Barcelona"
43,2-Jul,Second round,Argentina,1-3,Brazil,"Estadio Sarri , Barcelona"
47,5-Jul,Second round,Italy,3-2,Brazil,"Estadio Sarri , Barcelona"
37,28-Jun,Second round,Austria,0-1,France,"Estadio Vicente Calder¢n, Madrid"
41,1-Jul,Second round,Austria,2-2,Northern Ireland,"Estadio Vicente Calder¢n, Madrid"
45,4-Jul,Second round,Northern Ireland,1-4,France,"Estadio Vicente Calder¢n, Madrid"
49,8-Jul,Semi-finals,Poland,0-2,Italy,"Camp Nou, Barcelona"
50,8-Jul,Semi-finals,West Germany,3-3,France,"Estadio Ram¢n S nchez Pizju n, Seville"
51,10-Jul,Third place,Poland,3-2,France,"Estadio Jos‚ Rico P‚rez, Alicante"
52,11-Jul,Final,Italy,3-1,West Germany,Estadio Santiago Bernab‚u
