Game Number,Date,Stage,Team 1,Score,Team 2,Location
3,9-Jun,First round,Italy,1-0,Austria,"Stadio Olimpico, Rome"
5,10-Jun,First round,United States,1-5,Czechoslovakia,"Stadio Comunale, Florence"
15,14-Jun,First round,Italy,1-0,United States,"Stadio Olimpico, Rome"
17,15-Jun,First round,Austria,0-1,Czechoslovakia,"Stadio Comunale, Florence"
29,19-Jun,First round,Italy,2-0,Czechoslovakia,"Stadio Olimpico, Rome"
30,19-Jun,First round,Austria,2-1,United States,"Stadio Comunale, Florence"
1,8-Jun,First round,Argentina,0-1,Cameroon,"San Siro, Milan"
2,9-Jun,First round,Soviet Union,0-2,Romania,"Stadio San Nicola, Bari"
13,13-Jun,First round,Argentina,2-0,Soviet Union,"Stadio San Paolo, Naples"
16,14-Jun,First round,Cameroon,2-1,Romania,"Stadio San Nicola, Bari"
25,18-Jun,First round,Argentina,1-1,Romania,"Stadio San Paolo, Naples"
26,18-Jun,First round,Cameroon,0-4,Soviet Union,"Stadio San Nicola, Bari"
6,10-Jun,First round,Brazil,2-1,Sweden,"Stadio Delle Alpi, Turin"
8,11-Jun,First round,Costa Rica,1-0,Scotland,"Stadio Luigi Ferraris, Genoa"
19,16-Jun,First round,Brazil,1-0,Costa Rica,"Stadio Delle Alpi, Turin"
20,16-Jun,First round,Sweden,1-2,Scotland,"Stadio Luigi Ferraris, Genoa"
31,20-Jun,First round,Brazil,1-0,Scotland,"Stadio Delle Alpi, Turin"
32,20-Jun,First round,Sweden,1-2,Costa Rica,"Stadio Luigi Ferraris, Genoa"
4,9-Jun,First round,United Arab Emirates,0-2,Colombia,"Stadio Renato Dall'Ara, Bologna"
7,10-Jun,First round,West Germany,4-1,Yugoslavia,"San Siro, Milan"
14,14-Jun,First round,Yugoslavia,1-0,Colombia,"Stadio Renato Dall'Ara, Bologna"
18,15-Jun,First round,West Germany,5-1,United Arab Emirates,"San Siro, Milan"
27,19-Jun,First round,West Germany,1-1,Colombia,"San Siro, Milan"
28,19-Jun,First round,Yugoslavia,4-1,United Arab Emirates,"Stadio Renato Dall'Ara, Bologna"
10,12-Jun,First round,Belgium,2-0,South Korea,"Stadio Marc'Antonio Bentegodi, Verona"
12,13-Jun,First round,Uruguay,0-0,Spain,"Stadio Friuli, Udine"
23,17-Jun,First round,Belgium,3-1,Uruguay,"Stadio Marc'Antonio Bentegodi, Verona"
24,17-Jun,First round,South Korea,1-3,Spain,"Stadio Friuli, Udine"
33,21-Jun,First round,Belgium,1-2,Spain,"Stadio Marc'Antonio Bentegodi, Verona"
34,21-Jun,First round,South Korea,0-1,Uruguay,"Stadio Friuli, Udine"
9,11-Jun,First round,England,1-1,Ireland,"Stadio Sant'Elia, Cagliari"
11,12-Jun,First round,Netherlands,1-1,Egypt,"Stadio La Favorita, Palermo"
21,16-Jun,First round,England,0-0,Netherlands,"Stadio Sant'Elia, Cagliari"
22,17-Jun,First round,Ireland,0-0,Egypt,"Stadio La Favorita, Palermo"
35,21-Jun,First round,England,1-0,Egypt,"Stadio Sant'Elia, Cagliari"
36,21-Jun,First round,Ireland,1-1,Netherlands,"Stadio La Favorita, Palermo"
37,23-Jun,Second round,Cameroon,2-1,Colombia,"Stadio San Paolo, Naples"
38,23-Jun,Second round,Czechoslovakia,4-1,Costa Rica,"Stadio San Nicola, Bari"
39,24-Jun,Second round,Brazil,0-1,Argentina,"Stadio Delle Alpi, Turin"
40,24-Jun,Second round,West Germany,2-1,Netherlands,"San Siro, Milan"
41,25-Jun,Second round,Ireland,0-0,Romania,"Stadio Luigi Ferraris, Genoa"
42,25-Jun,Second round,Italy,2-0,Uruguay,"Stadio Olimpico, Rome"
43,26-Jun,Second round,Spain,1-2,Yugoslavia,"Stadio Marc'Antonio Bentegodi, Verona"
44,26-Jun,Second round,England,1-0,Belgium,"Stadio Renato Dall'Ara, Bologna"
45,30-Jun,Quarter-finals,Yugoslavia,0-0,Argentina,"Stadio Artemio Franchi, Florence"
46,30-Jun,Quarter-finals,Italy,1-0,Ireland,"Stadio Olimpico, Rome"
47,1-Jul,Quarter-finals,West Germany,1-0,Czechoslovakia,"San Siro, Milan"
48,1-Jul,Quarter-finals,England,3-2,Cameroon,"Stadio San Paolo, Naples"
49,3-Jul,Semi-finals,Italy,1-1,Argentina,"Stadio San Paolo, Naples"
50,4-Jul,Semi-finals,West Germany,1-1,England,"Stadio delle Alpi, Turin"
51,7-Jul,Third place,Italy,2-1,England,"Stadio San Nicola, Bari"
52,8-Jul,Final,West Germany,1-0,Argentina,"Stadio Olimpico, Rome"
