Game Number,Date,Stage,Team 1,Score,Team 2,Location
2,2-Jun,First round,Argentina,2-1,Hungary,"Estadio Monumental, Buenos Aires"
3,2-Jun,First round,Italy,2-1,France,"Estadio Jos‚ Mar¡a Minella, Mar del Plata"
9,6-Jun,First round,Argentina,2-1,France,"Estadio Monumental, Buenos Aires"
10,6-Jun,First round,Italy,3-1,Hungary,"Estadio Jos‚ Mar¡a Minella, Mar del Plata"
17,10-Jun,First round,Argentina,0-1,Italy,"Estadio Monumental, Buenos Aires"
18,10-Jun,First round,France,3-1,Hungary,"Estadio Jos‚ Mar¡a Minella, Mar del Plata"
1,1-Jun,First round,West Germany,0-0,Poland,"Estadio Monumental, Buenos Aires"
4,2-Jun,First round,Tunisia,3-1,Mexico,"Estadio Gigante de Arroyito, Rosario"
11,6-Jun,First round,Poland,1-0,Tunisia,"Estadio Gigante de Arroyito, Rosario"
12,6-Jun,First round,West Germany,6-0,Mexico,"Estadio Chateau Carreras, C¢rdoba"
19,10-Jun,First round,Poland,3-1,Mexico,"Estadio Gigante de Arroyito, Rosario"
20,10-Jun,First round,West Germany,0-0,Tunisia,"Estadio Chateau Carreras, C¢rdoba"
5,3-Jun,First round,Austria,2-1,Spain,"Estadio Monumental, Buenos Aires"
6,3-Jun,First round,Brazil,1-1,Sweden,"Estadio Jos‚ Mar¡a Minella, Mar del Plata"
13,7-Jun,First round,Austria,1-0,Sweden,"Estadio Monumental, Buenos Aires"
14,7-Jun,First round,Brazil,0-0,Spain,"Estadio Jos‚ Mar¡a Minella, Mar del Plata"
21,11-Jun,First round,Spain,1-0,Sweden,"Estadio Monumental, Buenos Aires"
22,11-Jun,First round,Brazil,1-0,Austria,"Estadio Jos‚ Mar¡a Minella, Mar del Plata"
7,3-Jun,First round,Peru,3-1,Scotland,"Estadio Chateau Carreras, C¢rdoba"
8,3-Jun,First round,Netherlands,3-0,Iran,"Estadio Ciudad de Mendoza, Mendoza"
15,7-Jun,First round,Scotland,1-1,Iran,"Estadio Chateau Carreras, C¢rdoba"
16,7-Jun,First round,Netherlands,0-0,Peru,"Estadio Ciudad de Mendoza, Mendoza"
23,11-Jun,First round,Peru,4-1,Iran,"Estadio Chateau Carreras, C¢rdoba"
24,11-Jun,Second round,Scotland,3-2,Netherlands,"Estadio Ciudad de Mendoza, Mendoza"
25,14-Jun,Second round,Italy,0-0,West,"Estadio Monumental, Buenos Aires"
27,14-Jun,Second round,Austria,1-5,Netherlands,"Estadio Chateau Carreras, C¢rdoba"
29,18-Jun,Second round,Italy,1-0,Austria,"Estadio Monumental, Buenos Aires"
31,18-Jun,Second round,Netherlands,2-2,West Germany,"Estadio Chateau Carreras, C¢rdoba"
33,21-Jun,Second round,Italy,1-2,Netherlands,"Estadio Monumental, Buenos Aires"
35,21-Jun,Second round,Austria,3-2,West Germany,"Estadio Chateau Carreras, C¢rdoba"
26,14-Jun,Second round,Argentina,2-0,Poland,"Estadio Gigante de Arroyito, Rosario"
28,14-Jun,Second round,Peru,0-3,Brazil,"Estadio Ciudad de Mendoza, Mendoza"
30,18-Jun,Second round,Argentina,0-0,Brazil,"Estadio Gigante de Arroyito, Rosario"
32,18-Jun,Second round,Peru,0-1,Poland,"Estadio Ciudad de Mendoza, Mendoza"
34,21-Jun,Second round,Argentina,6-0,Peru,"Estadio Gigante de Arroyito, Rosario"
36,21-Jun,Second round,Poland,1-3,Brazil,"Estadio Ciudad de Mendoza, Mendoza"
37,24-Jun,Third place,Brazil,2-1,Italy,"Estadio Monumental, Buenos Aires"
38,25-Jun,Final,Netherlands,1-3,Argentina,"Estadio Monumental, Buenos Aires"
