Game Number,Date,Stage,Team 1,Score,Team 2,Location
1,31-May,First round,Bulgaria,1-1,Italy,"Estadio Azteca, Mexico City"
4,2-Jun,First round,Argentina,3-1,South Korea,"Estadio Ol¡mpico Universitario, Mexico City"
13,5-Jun,First round,Italy,1-1,Argentina,"Estadio Cuauht‚moc, Puebla"
14,5-Jun,First round,South Korea,1-1,Bulgaria,"Estadio Ol¡mpico Universitario, Mexico City"
27,10-Jun,First round,South Korea,2-3,Italy,"Estadio Cuauht‚moc, Puebla"
28,10-Jun,First round,Argentina,2-0,Bulgaria,"Estadio Ol¡mpico Universitario, Mexico City"
7,3-Jun,First round,Belgium,1-2,Mexico,"Estadio Azteca, Mexico City"
10,4-Jun,First round,Paraguay,1-0,Iraq,"Estadio Nemesio D¡ez, Toluca"
19,7-Jun,First round,Mexico,1-1,Paraguay,"Estadio Azteca, Mexico City"
22,8-Jun,First round,Iraq,1-2,Belgium,"Estadio Nemesio D¡ez, Toluca"
29,11-Jun,First round,Iraq,0-1,Mexico,"Estadio Azteca, Mexico City"
30,11-Jun,First round,Paraguay,2-2,Belgium,"Estadio Nemesio D¡ez, Toluca"
2,1-Jun,First round,Canada,0-1,France,"Estadio Nou Camp, Le¢n"
5,2-Jun,First round,Soviet Union,6-0,Hungary,"Estadio Sergio Le¢n Chavez, Irapuato"
15,5-Jun,First round,France,1-1,Soviet Union,"Estadio Nou Camp, Le¢n"
16,6-Jun,First round,Hungary,2-0,Canada,"Estadio Sergio Le¢n Chavez, Irapuato"
25,9-Jun,First round,Hungary,0-3,France,"Estadio Nou Camp, Le¢n"
26,9-Jun,First round,Soviet Union,2-0,Canada,"Estadio Sergio Le¢n Chavez, Irapuato"
3,1-Jun,First round,Spain,0-1,Brazil,"Estadio Jalisco, Guadalajara"
8,3-Jun,First round,Algeria,1-1,Northern Ireland,"Estadio Jalisco, Guadalajara"
17,6-Jun,First round,Brazil,1-0,Algeria,"Estadio Jalisco, Guadalajara"
20,7-Jun,First round,Northern Ireland,1-2,Spain,"Estadio Jalisco, Guadalajara"
33,12-Jun,First round,Northern Ireland,0-3,Brazil,"Estadio Jalisco, Guadalajara"
34,12-Jun,First round,Algeria,0-3,Spain,"Estadio Tecnol¢gico, Monterrey"
11,4-Jun,First round,Uruguay,1-1,West Germany,"Estadio La Corregidora, Quer‚taro"
12,4-Jun,First round,Scotland,0-1,Denmark,"Estadio Neza 86, Nezahualc¢yotl"
23,8-Jun,First round,West Germany,2-1,Scotland,"Estadio La Corregidora, Quer‚taro"
24,8-Jun,First round,Denmark,6-1,Uruguay,"Estadio Neza 86, Nezahualc¢yotl"
35,13-Jun,First round,Denmark,2-0,West Germany,"Estadio La Corregidora, Quer‚taro"
36,13-Jun,First round,Scotland,0-0,Uruguay,"Estadio Neza 86, Nezahualc¢yotl"
6,2-Jun,First round,Morocco,0-0,Poland,"Estadio Universitario, Monterrey"
9,3-Jun,First round,Portugal,1-0,England,"Estadio Tecnol¢gico, Monterrey"
18,6-Jun,First round,England,0-0,Morocco,"Estadio Tecnol¢gico, Monterrey"
21,7-Jun,First round,Poland,1-0,Portugal,"Estadio Universitario, Monterrey"
31,11-Jun,First round,Portugal,1-3,Morocco,"Estadio Tres de Marzo, Guadalajara"
32,11-Jun,First round,England,3-0,Poland,"Estadio Tecnol¢gico, Monterrey"
37,15-Jun,Second round,Mexico,2-0,Bulgaria,"Estadio Azteca, Mexico City"
38,15-Jun,Second round,Soviet Union,3-4,Belgium,"Estadio Nou Camp, Le¢n"
39,16-Jun,Second round,Argentina,1-0,Uruguay,"Estadio Cuauht‚moc, Puebla"
40,16-Jun,Second round,Brazil,4-0,Poland,"Estadio Jalisco, Guadalajara"
41,17-Jun,Second round,Italy,0-2,France,"Estadio Ol¡mpico Universitario, Mexico City"
42,17-Jun,Second round,Morocco,0-1,West,"Estadio Universitario, Monterrey"
43,18-Jun,Second round,England,3-0,Paraguay,"Estadio Azteca, Mexico City"
44,18-Jun,Second round,Denmark,1-5,Spain,"Estadio La Corregidora, Quer‚taro"
45,21-Jun,Quarter-finals,Brazil,1-1,France,"Estadio Jalisco, Guadalajara"
46,21-Jun,Quarter-finals,West Germany,0-0,Mexico,"Estadio Universitario, Monterrey"
47,22-Jun,Quarter-finals,Spain,1-1,Belgium,"Estadio Cuauht‚moc, Puebla"
48,22-Jun,Quarter-finals,Argentina,2-1,England,"Estadio Azteca, Mexico City"
49,25-Jun,Semi-finals,Argentina,2-0,Belgium,"Estadio Azteca, Mexico City"
50,25-Jun,Semi-finals,France,0-2,West Germany,"Estadio Jalisco, Guadalajara"
51,28-Jun,Third place,France,4-1,Belgium,"Estadio Cuauht‚moc, Puebla"
52,29-Jun,Final,Argentina,3-2,West Germany,"Estadio Azteca, Mexico City"
