Game Number,Date,Stage,Team 1,Score,Team 2,Location
1,31-May,First round,France,0-1,Senegal,"Seoul World Cup Stadium, Seoul"
3,1-Jun,First round,Uruguay,1-2,Denmark,"Munsu Cup Stadium, Ulsan"
18,6-Jun,First round,France,0-0,Uruguay,"Asiad Main Stadium, Busan"
19,6-Jun,First round,Denmark,1-1,Senegal,"Daegu World Cup Stadium, Daegu"
33,11-Jun,First round,Denmark,2-0,France,"Incheon Munhak Stadium, Incheon"
34,11-Jun,First round,Senegal,3-3,Uruguay,"Suwon World Cup Stadium, Suwon"
6,2-Jun,First round,Paraguay,2-2,South Africa,"Asiad Main Stadium, Busan"
8,2-Jun,First round,Spain,3-1,Slovenia,"Gwangju World Cup Stadium, Gwangju"
22,7-Jun,First round,Spain,3-1,Paraguay,"Jeonju World Cup Stadium, Jeonju"
24,8-Jun,First round,South Africa,1-0,Slovenia,"Daegu World Cup Stadium, Daegu"
39,12-Jun,First round,South Africa,2-3,Spain,"Daejeon World Cup Stadium, Daejeon"
40,12-Jun,First round,Slovenia,1-3,Paraguay,"Jeju World Cup Stadium, Jeju"
10,3-Jun,First round,Brazil,2-1,Turkey,"Munsu Cup Stadium, Ulsan"
12,4-Jun,First round,China,0-2,Costa,"Gwangju World Cup Stadium, Gwangju"
26,8-Jun,First round,Brazil,4-0,China,"Jeju World Cup Stadium, Jeju"
28,9-Jun,First round,Costa Rica,1-1,Turkey,"Incheon Munhak Stadium, Incheon"
41,13-Jun,First round,Costa Rica,2-5,Brazil,"Suwon World Cup Stadium, Suwon"
42,13-Jun,First round,Turkey,3-0,China,"Seoul World Cup Stadium, Seoul"
14,4-Jun,First round,South Korea,2-0,Poland,"Asiad Main Stadium, Busan"
16,5-Jun,First round,United States,3-2,Portugal,"Suwon World Cup Stadium, Suwon"
30,10-Jun,First round,South Korea,1-1,United States,"Daegu World Cup Stadium, Daegu"
32,10-Jun,First round,Portugal,4-0,Poland,"Jeonju World Cup Stadium, Jeonju"
47,14-Jun,First round,Portugal,0-1,South Korea,"Incheon Munhak Stadium, Incheon"
48,14-Jun,First round,Poland,3-1,United States,"Daejeon World Cup Stadium, Daejeon"
2,1-Jun,First round,Ireland,1-1,Cameroon,"Niigata Stadium, Niigata"
4,1-Jun,First round,Germany,8-0,Saudi Arabia,"Sapporo Dome, Sapporo"
17,5-Jun,First round,Germany,1-1,Republic,"Kashima Soccer Stadium, Ibaraki"
19,6-Jun,First round,Cameroon,1-0,Saudi Arabia,"Saitama Stadium, Saitama"
35,11-Jun,First round,Cameroon,0-2,Germany,"Shizuoka Stadium, Shizuoka"
36,11-Jun,First round,Saudi Arabia,0-3,Ireland,"International Stadium Yokohama, Yokohama"
5,2-Jun,First round,England,1-1,Sweden,"Saitama Stadium, Saitama"
7,2-Jun,First round,Argentina,1-0,Nigeria,"Kashima Soccer Stadium, Ibaraki"
21,7-Jun,First round,Sweden,2-1,Nigeria,"Kobe Wing Stadium, Kobe"
23,7-Jun,First round,Argentina,0-1,England,"Sapporo Dome, Sapporo"
37,12-Jun,First round,Sweden,1-1,Argenti,"Miyagi Stadium, Miyagi"
38,12-Jun,First round,Nigeria,0-0,England,"Nagai Stadium, Osaka"
9,3-Jun,First round,Croatia,0-1,Mexico,"Niigata Stadium, Niigata"
11,3-Jun,First round,Italy,2-0,Ecuador,"Sapporo Dome, Sapporo"
25,8-Jun,First round,Italy,1-2,Croatia,"Kashima Soccer Stadium, Ibaraki"
27,9-Jun,First round,Mexico,2-1,Ecuador,"Miyagi Stadium, Miyagi"
43,13-Jun,First round,Mexico,1-1,Italy,"_ita Stadium, _ita"
44,13-Jun,First round,Ecuador,1-0,Croatia,"International Stadium Yokohama, Yokohama"
13,4-Jun,First round,Japan,2-2,Belgium,"Saitama Stadium, Saitama"
15,5-Jun,First round,Russia,2-0,Tunisia,"Kobe Wing Stadium, Kobe"
29,9-Jun,First round,Japan,1-0,Russia,"International Stadium Yokohama, Yokohama"
31,10-Jun,First round,Tunisia,1-1,Belgium,"_ita Stadium, _ita"
45,14-Jun,First round,Tunisia,0-2,Japan,"Nagai Stadium, Osaka"
46,14-Jun,First round,Belgium,3-2,Russia,"Shizuoka Stadium, Shizuoka"
49,15-Jun,Second round,Germany,1-0,Paraguay,"Jeju World Cup Stadium, Jeju"
50,15-Jun,Second round,Denmark,0-3,England,"Niigata Stadium, Niigata"
51,16-Jun,Second round,Sweden,1-2,Senegal,"_ita Stadium, _ita"
52,16-Jun,Second round,Spain,1-1,Ireland,"Suwon World Cup Stadium, Suwon"
53,17-Jun,Second round,Mexico,0-2,United States,"Jeonju World Cup Stadium, Jeonju"
54,17-Jun,Second round,Brazil,2-0,Belgium,"Kobe Wing Stadium, Kobe"
55,18-Jun,Second round,Japan,0-1,Turkey,"Miyagi Stadium, Miyagi"
56,18-Jun,Second round,South Korea,2-1,Italy,"Daejeon World Cup Stadium, Daejeon"
57,21-Jun,Quarter-finals,England,1-2,Brazil,"Shizuoka Stadium, Shizuoka"
58,21-Jun,Quarter-finals,Germany,1-0,United States,"Munsu Cup Stadium, Ulsan"
59,22-Jun,Quarter-finals,Spain,0-0,South Korea,"Gwangju World Cup Stadium, Gwangju"
60,22-Jun,Quarter-finals,Senegal,0-1,Turkey,"Nagai Stadium, Osaka"
61,25-Jun,Semi-finals,Germany,1-0,South Korea,"Seoul World Cup Stadium, Seoul"
62,26-Jun,Semi-finals,Brazil,1-0,Turkey,"Saitama Stadium, Saitama"
63,29-Jun,Third place,South Korea,2-3,Turkey,"Daegu World Cup Stadium, Daegu"
64,30-Jun,Final,Germany,0-2,Brazil,"International Stadium Yokohama, Yokohama"
